公告,#genre#
直播源均来自网络，不得商用，仅供学习交流使用。,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
更新日期,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
2025-09-29,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
上海电信,#genre#
CCTV2,http://171.213.239.119:58888/rtp/239.93.1.23:6000
CCTV2,http://171.213.177.88:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.147.6:9090/rtp/239.93.1.23:6000
CCTV2,http://171.213.148.84:58888/rtp/239.93.1.23:6000
CCTV2,http://171.213.131.206:9999/rtp/239.93.1.23:6000
CCTV2,http://171.213.159.65:9999/rtp/239.93.1.23:6000
CCTV2,http://171.213.131.162:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.167.181:58888/rtp/239.93.1.23:6000
CCTV2,http://171.213.129.64:4022/rtp/239.93.1.23:6000
CCTV2,http://171.213.137.109:8888/rtp/239.93.1.23:6000
CCTV2,http://171.213.245.108:4022/rtp/239.93.1.23:6000
CCTV2,http://171.213.145.223:4022/rtp/239.93.1.23:6000
CCTV2,http://171.213.156.229:58888/rtp/239.93.1.23:6000
CCTV2,http://171.213.196.26:4022/rtp/239.93.1.23:6000
CCTV2,http://171.213.135.179:4022/rtp/239.93.1.23:6000
CCTV2,http://171.213.238.254:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.236.122:9999/rtp/239.93.1.23:6000
CCTV2,http://171.213.159.1:1880/rtp/239.93.1.23:6000
CCTV2,http://171.213.137.227:5555/rtp/239.93.1.23:6000
CCTV2,http://171.213.233.13:4022/rtp/239.93.1.23:6000
CCTV2,http://171.213.224.176:4022/rtp/239.93.1.23:6000
CCTV2,http://171.213.243.178:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.130.234:6666/rtp/239.93.1.23:6000
CCTV2,http://171.213.230.35:4022/rtp/239.93.1.23:6000
CCTV2,http://171.213.229.65:8096/rtp/239.93.1.23:6000
CCTV2,http://171.213.209.213:6666/rtp/239.93.1.23:6000
CCTV2,http://171.213.242.207:8096/rtp/239.93.1.23:6000
CCTV2,http://171.213.168.30:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.128.68:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.208.211:4022/rtp/239.93.1.23:6000
CCTV2,http://171.213.149.89:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.181.173:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.173.38:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.160.225:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.160.181:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.152.185:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.243.188:66/rtp/239.93.1.23:6000
CCTV2,http://171.213.139.176:3333/rtp/239.93.1.23:6000
CCTV2,http://171.213.130.71:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.146.177:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.145.213:8189/rtp/239.93.1.23:6000
CCTV2,http://171.213.163.151:8000/rtp/239.93.1.23:6000
CCTV2,http://171.213.233.182:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.204.21:8888/rtp/239.93.1.23:6000
CCTV2,http://171.213.200.66:9115/rtp/239.93.1.23:6000
CCTV2,http://171.213.171.159:8189/rtp/239.93.1.23:6000
CCTV2,http://171.213.169.99:8188/rtp/239.93.1.23:6000
CCTV2,http://171.213.129.229:8189/rtp/239.93.1.23:6000
CCTV2,http://171.213.226.174:8088/rtp/239.93.1.23:6000
CCTV2,http://171.213.198.30:58888/rtp/239.93.1.23:6000
CCTV2,http://171.213.171.166:4022/rtp/239.93.1.23:6000
CCTV3,http://115.203.94.227:58888/rtp/233.50.201.196:5140
CCTV3,http://60.176.235.252:9999/rtp/233.50.201.196:5140
CCTV3,http://36.24.66.203:8888/rtp/233.50.201.196:5140
CCTV3,http://122.235.198.5:4022/rtp/233.50.201.196:5140
CCTV3,http://115.221.93.199:7777/rtp/233.50.201.196:5140
CCTV3,http://115.221.95.61:7777/rtp/233.50.201.196:5140
CCTV3,http://115.221.91.119:7777/rtp/233.50.201.196:5140
CCTV3,http://60.176.179.71:4022/rtp/233.50.201.196:5140
CCTV3,http://115.207.211.238:8881/rtp/233.50.201.196:5140
CCTV3,http://115.207.211.238:8888/rtp/233.50.201.196:5140
CCTV3,http://183.156.124.73:4022/rtp/233.50.201.196:5140
CCTV3,http://183.158.242.137:4022/rtp/233.50.201.196:5140
CCTV3,http://125.118.60.234:4022/rtp/233.50.201.196:5140
CCTV3,http://115.230.42.124:4022/rtp/233.50.201.196:5140
CCTV3,http://180.158.131.180:4022/rtp/239.45.1.68:5140
CCTV3,http://116.237.237.61:4022/rtp/239.45.1.68:5140
CCTV3,http://116.234.82.107:4022/rtp/239.45.1.68:5140
CCTV3,http://223.167.221.101:4022/rtp/239.45.1.68:5140
CCTV3,http://116.233.22.230:4022/rtp/239.45.1.68:5140
CCTV3,http://180.157.119.48:8889/rtp/239.45.1.68:5140
CCTV3,http://116.226.34.65:4022/rtp/239.45.1.68:5140
CCTV3,http://116.226.46.59:4022/rtp/239.45.1.68:5140
CCTV3,http://218.80.98.253:8880/rtp/239.45.1.68:5140
CCTV3,http://180.165.4.134:4022/rtp/239.45.1.68:5140
CCTV3,http://116.226.24.61:8888/rtp/239.45.1.68:5140
CCTV3,http://180.165.4.32:9898/rtp/239.45.1.68:5140
CCTV3,http://113.95.140.207:8888/rtp/239.77.0.169:5146
CCTV3,http://183.30.202.135:8000/rtp/239.77.0.169:5146
CCTV3,http://113.65.9.176:4111/rtp/239.77.0.169:5146
CCTV3,http://113.65.9.113:4111/rtp/239.77.0.169:5146
CCTV3,http://183.30.202.85:8000/rtp/239.77.0.169:5146
CCTV3,http://113.65.9.2:4013/rtp/239.77.0.169:5146
CCTV3,http://113.65.9.243:4111/rtp/239.77.0.169:5146
CCTV3,http://113.65.9.243:4013/rtp/239.77.0.169:5146
CCTV3,http://113.65.9.113:4013/rtp/239.77.0.169:5146
CCTV3,http://113.109.250.40:9999/rtp/239.77.0.169:5146
CCTV3,http://113.65.9.2:4111/rtp/239.77.0.169:5146
CCTV3,http://113.103.52.52:8686/rtp/239.77.0.169:5146
CCTV3,http://183.30.202.125:8000/rtp/239.77.0.169:5146
CCTV3,http://183.10.182.109:8188/rtp/239.77.0.169:5146
CCTV3,http://113.65.9.176:4013/rtp/239.77.0.169:5146
CCTV3,http://113.95.138.226:8888/rtp/239.77.0.169:5146
CCTV3,http://61.140.124.50:10022/rtp/239.77.0.169:5146
CCTV3,http://183.30.201.127:10002/rtp/239.77.0.169:5146
CCTV3,http://113.101.245.149:9988/rtp/239.77.0.169:5146
CCTV3,http://113.95.132.133:8888/rtp/239.77.0.169:5146
CCTV3,http://14.154.196.71:4022/rtp/239.77.0.169:5146
CCTV3,http://183.33.58.238:8686/rtp/239.77.0.169:5146
CCTV3,http://113.117.107.160:8800/rtp/239.77.0.169:5146
CCTV3,http://113.89.247.94:4200/rtp/239.77.0.169:5146
CCTV3,http://116.30.249.17:9876/rtp/239.77.0.169:5146
CCTV3,http://14.149.140.45:16888/rtp/239.77.0.169:5146
CCTV3,http://116.30.249.57:9876/rtp/239.77.0.169:5146
